Date/Time, GC-hostname:port, CPU-hostname:port, Used JVM Mem-hostname:port, Total JVM Mem-hostname:port, Init JVM Mem-hostname:port, Committed JVM Mem-hostname:port, Loaded Class Count-hostname:port, JVM Process CPU Time-hostname:port, JVM Process Cpu Load-hostname:port, System CPU Load-hostname:port, Free Physical Memory Size-hostname:port, Total Physical Memory Size-hostname:port, System Load Average-hostname:port, Total Swap Space Size-hostname:port, Committed Virtual Memory Size-hostname:port, Current Thread Count-hostname:port, Current Threads Busy-hostname:port, Max Threads-hostname:port, Active Sessions-hostname:port, Uptime-hostname:port,
2018-03-12 14:45:02, 0.0, 0, 322868968, 954466304, 261342016, 398327808, 5036, 8561710000000, 0.07, 0.95, 818184192, 16725889024, 0.43, 8724148224, 3576184832, 15, 7, 200, 30, 257172658,
2018-03-12 14:46:02, 0.0, 2, 330512784, 954466304, 261342016, 400752640, 5038, 8566530000000, 0.04, 0.45, 846643200, 16725889024, 0.56, 8724148224, 3576184832, 15, 8, 200, 30, 257232263,
2018-03-12 14:47:02, 0.0, 1, 332595608, 954466304, 261342016, 393674752, 5038, 8571240000000, 0.04, 0.46, 847224832, 16725889024, 0.43, 8724148224, 3577237504, 15, 7, 200, 30, 257292246,
2018-03-12 14:48:02, 0.0, 1, 191494112, 954466304, 261342016, 380502016, 5038, 8575920000000, 0.04, 0.48, 883560448, 16725889024, 0.27, 8724148224, 3577237504, 15, 8, 200, 30, 257352263,
2018-03-12 14:49:02, 0.0, 2, 270442360, 954466304, 261342016, 374210560, 5038, 8581040000000, 0.04, 0.50, 852295680, 16725889024, 0.24, 8724148224, 3577237504, 15, 7, 200, 30, 257412220,
2018-03-12 14:50:02, 0.0, 1, 191588736, 954466304, 261342016, 377946112, 5038, 8585720000000, 0.04, 0.49, 852451328, 16725889024, 0.30, 8724148224, 3577237504, 15, 8, 200, 30, 257472247,
2018-03-12 14:51:02, 0.0, 1, 250355656, 954466304, 261342016, 381747200, 5038, 8590400000000, 0.04, 0.49, 304250880, 16725889024, 0.81, 8724148224, 3577237504, 15, 8, 200, 30, 257532232,
2018-03-12 14:52:02, 0.0, 1, 307200552, 954466304, 261342016, 383188992, 5041, 8595090000000, 0.04, 0.51, 739000320, 16725889024, 0.37, 8724148224, 3577237504, 15, 8, 200, 30, 257592246,
2018-03-12 14:53:02, 0.0, 1, 200653072, 954466304, 261342016, 385286144, 5041, 8599810000000, 0.04, 0.41, 165691392, 16725889024, 0.55, 8724148224, 3577237504, 15, 8, 200, 30, 257652210,
2018-03-12 14:54:02, 0.0, 1, 251541584, 954466304, 261342016, 387055616, 5041, 8604560000000, 0.04, 0.57, 1384378368, 16725889024, 0.54, 8724148224, 3577237504, 15, 8, 200, 30, 257712273,
2018-03-12 14:55:02, 0.0, 2, 192265672, 954466304, 261342016, 388890624, 5041, 8609760000000, 0.01, 0.37, 1201659904, 16725889024, 0.38, 8724148224, 3577237504, 15, 7, 200, 30, 257772223,
2018-03-12 14:56:02, 0.0, 2, 255193064, 954466304, 261342016, 390529024, 5041, 8614920000000, 0.01, 0.56, 1390989312, 16725889024, 0.33, 8724148224, 3577237504, 15, 9, 200, 30, 257832250,
2018-03-12 14:57:02, 0.0, 1, 275753096, 954466304, 261342016, 391577600, 5041, 8619520000000, 0.01, 0.46, 1365958656, 16725889024, 0.32, 8724148224, 3577237504, 15, 7, 200, 30, 257892227,
2018-03-12 14:58:02, 0.0, 2, 224992144, 954466304, 261342016, 394067968, 5042, 8625220000000, 0.02, 0.57, 1371312128, 16725889024, 0.52, 8724148224, 3577237504, 15, 9, 200, 30, 257952225,
2018-03-12 14:59:02, 0.0, 1, 201577656, 954466304, 261342016, 396886016, 5045, 8629540000000, 0.01, 0.51, 638455808, 16725889024, 0.78, 8724148224, 3577237504, 15, 7, 200, 30, 258012212,
2018-03-12 15:00:02, 0.0, 1, 201726376, 954466304, 261342016, 398065664, 5048, 8634230000000, 0.01, 0.49, 1307160576, 16725889024, 0.75, 8724148224, 3577237504, 15, 7, 200, 30, 258072220,
2018-03-12 15:01:02, 0.0, 2, 302609120, 954466304, 261342016, 399835136, 5053, 8640070000000, 0.01, 0.55, 1286377472, 16725889024, 0.89, 8724148224, 3577237504, 15, 9, 200, 30, 258132240,
2018-03-12 15:02:02, 0.0, 1, 242030888, 954466304, 261342016, 400949248, 5053, 8644600000000, 0.02, 0.62, 1320562688, 16725889024, 0.49, 8724148224, 3577237504, 15, 10, 200, 30, 258192215,
2018-03-12 15:03:02, 0.0, 2, 231451264, 954466304, 261342016, 390332416, 5053, 8649480000000, 0.01, 0.68, 1248706560, 16725889024, 0.43, 8724148224, 3577237504, 15, 9, 200, 30, 258252245,
2018-03-12 15:04:02, 0.0, 2, 258183136, 954466304, 261342016, 393740288, 5053, 8654580000000, 0.02, 0.57, 1299013632, 16725889024, 0.67, 8724148224, 3577237504, 15, 8, 200, 30, 258312212,
2018-03-12 15:05:02, 0.0, 2, 283820352, 954466304, 261342016, 396623872, 5053, 8659590000000, 0.01, 0.63, 1251487744, 16725889024, 0.54, 8724148224, 3577237504, 15, 8, 200, 30, 258372239,
2018-03-12 15:06:02, 0.0, 1, 270797704, 954466304, 261342016, 397541376, 5053, 8664230000000, 0.03, 0.59, 1243279360, 16725889024, 0.23, 8724148224, 3577237504, 15, 9, 200, 30, 258432209,
2018-03-12 15:07:02, 0.0, 1, 257312496, 954466304, 261342016, 399900672, 5053, 8668890000000, 0.01, 0.61, 1298354176, 16725889024, 0.24, 8724148224, 3577237504, 15, 8, 200, 30, 258492236,
2018-03-12 15:08:02, 0.0, 2, 248983488, 954466304, 261342016, 401211392, 5053, 8673720000000, 0.05, 0.70, 1250152448, 16725889024, 0.74, 8724148224, 3577237504, 15, 11, 200, 30, 258552243,
2018-03-12 15:09:02, 0.0, 2, 312833320, 954466304, 261342016, 397017088, 5053, 8679090000000, 0.01, 0.59, 1264234496, 16725889024, 0.68, 8724148224, 3577237504, 15, 9, 200, 30, 258612251,
2018-03-12 15:10:02, 0.0, 1, 295866400, 954466304, 261342016, 399572992, 5053, 8683790000000, 0.03, 0.55, 1265799168, 16725889024, 0.59, 8724148224, 3577237504, 15, 9, 200, 30, 258672215,
2018-03-12 15:11:02, 0.0, 1, 262996520, 954466304, 261342016, 401801216, 5053, 8688440000000, 0.01, 0.61, 1242746880, 16725889024, 0.34, 8724148224, 3577237504, 15, 9, 200, 30, 258732246,
2018-03-12 15:12:02, 0.0, 1, 248318872, 954466304, 261342016, 385286144, 5053, 8693150000000, 0.01, 0.60, 1185480704, 16725889024, 0.42, 8724148224, 3577237504, 15, 8, 200, 30, 258792225,
2018-03-12 15:13:02, 0.0, 1, 269874000, 954466304, 261342016, 383057920, 5053, 8697750000000, 0.01, 0.52, 1241251840, 16725889024, 0.19, 8724148224, 3577237504, 15, 7, 200, 30, 258852240,
2018-03-12 15:14:02, 0.0, 1, 288274960, 954466304, 261342016, 386793472, 5053, 8702370000000, 0.01, 0.50, 1227059200, 16725889024, 0.17, 8724148224, 3577237504, 15, 7, 200, 30, 258912244,
2018-03-12 15:15:02, 0.0, 2, 307717368, 954466304, 261342016, 389939200, 5053, 8707260000000, 0.01, 0.66, 1190481920, 16725889024, 0.28, 8724148224, 3577237504, 15, 8, 200, 30, 258972244,
2018-03-12 15:16:02, 0.0, 1, 305740416, 954466304, 261342016, 391184384, 5053, 8711830000000, 0.01, 0.70, 1217200128, 16725889024, 0.34, 8724148224, 3577237504, 15, 8, 200, 30, 259032255,
2018-03-12 15:17:02, 0.0, 1, 299899288, 954466304, 261342016, 392757248, 5053, 8716420000000, 0.02, 0.59, 1208930304, 16725889024, 0.59, 8724148224, 3577237504, 15, 7, 200, 30, 259092230,
2018-03-12 15:18:02, 0.0, 1, 287683496, 954466304, 261342016, 387710976, 5053, 8721000000000, 0.01, 0.60, 1189826560, 16725889024, 0.66, 8724148224, 3577237504, 15, 7, 200, 30, 259152210,
2018-03-12 15:19:02, 0.0, 2, 341226280, 954466304, 261342016, 392429568, 5053, 8726200000000, 0.02, 0.67, 1176821760, 16725889024, 0.63, 8724148224, 3577237504, 15, 6, 200, 30, 259212224,
2018-03-12 15:20:02, 0.0, 1, 308343536, 954466304, 261342016, 386007040, 5053, 8730480000000, 0.01, 0.67, 1098063872, 16725889024, 0.64, 8724148224, 3577237504, 15, 6, 200, 30, 259272226,
2018-03-12 15:21:02, 0.0, 1, 323393088, 954466304, 261342016, 373882880, 5053, 8735060000000, 0.01, 0.46, 1135620096, 16725889024, 1.05, 8724148224, 3577237504, 15, 6, 200, 30, 259332227,
2018-03-12 15:22:02, 0.0, 2, 280324024, 954466304, 261342016, 362348544, 5053, 8740050000000, 0.01, 0.48, 1126195200, 16725889024, 0.69, 8724148224, 3577237504, 15, 5, 200, 30, 259392226,
